candidate_id,article_id,title,queue,tier,decision,label,http,verify,verify_source,reason
176,1002431245,Cách tối ưu card Nvidia chơi game với hiệu năng cao mà bạn có thể chưa biết,AUTO_RECLAIM,LOW,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
179,1002434311,AMD Ryzen AI 9 HX 370: Quái vật hiệu năng mới cho laptop gaming,AUTO_RECLAIM,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
214,1002693503,"IPhone Gập: Apple Đã Sẵn Sàng “Gấp Gọn” Thế Giới Của Bạn, Nhưng iPad Gập Thì Vẫn... Ngủ Đông",AUTO_RECLAIM,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
138,1002416821,Đánh giá Rapoo VT3 Pro: Có đáng mua với mức giá dưới 1 triệu?,AUTO_RECLAIM,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
195,1002541111,"Sửa Máy Tính Quận 2 Chất Lượng, Nhanh Chóng tại Sintech",AUTO_RECLAIM,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
159,1002423252,Tản nhiệt AIO hoạt động như thế nào?,AUTO_RECLAIM,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
101,1002411373,Card đồ họa laptop là gì? Cách chọn card đồ họa rời laptop phù hợp nhu cầu,VISUAL_IMAGE_REMEDIATION,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
11,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",TIME_SENSITIVE_NEWS,LOW,BLOCKED_FACT,hold_news,,,,fact: ['fact']
220,1002704151,"ASUS ra mắt bộ PC Hatsune Miku ""full gear"": Từ linh kiện đến thời trang, waifu chính thức bước vào thế giới gaming",TIME_SENSITIVE_NEWS,LOW,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
211,1002601884,"Intel ra mắt CPU Core Ultra 300 (Panther Lake) năm 2026, sản xuất hàng loạt từ cuối 2025",TIME_SENSITIVE_NEWS,LOW,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
209,1002600742,"AMD chuẩn bị ra mắt Radeon RX 9070 GRE với hiệu năng mạnh, giá cạnh tranh hơn",TIME_SENSITIVE_NEWS,LOW,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
207,1002594736,Lộ Diện GeForce RTX 5060 & 5050 Laptop: ASUS Xác Nhận Cả Hai Đều Dùng 8GB GDDR7,TIME_SENSITIVE_NEWS,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
190,1002533590,Dòng card đồ họa NVIDIA RTX 50 có mức giá khởi điểm từ 549 USD.,TIME_SENSITIVE_NEWS,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
208,1002594907,"AMD Radeon RX 9050 ""lộ diện"" tình cờ trên trang cửa hàng điện tử bán lẻ – GPU RDNA 4 giá rẻ sắp ra mắt?",TIME_SENSITIVE_NEWS,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
191,1002535931,"RTX 5060 & RTX 5060 Ti: ""Quái vật"" tầm trung khuấy đảo thị trường năm 2025?",TIME_SENSITIVE_NEWS,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
131,1002414223,"ROG và TUF, laptop nào của ASUS phù hợp với bạn?",TIME_SENSITIVE_NEWS,NO_TRAFFIC,HOLD_TIME_SENSITIVE,hold_news,,,,fact: ['fact']
