candidate_id,article_id,title,url,hold_reason
98,1002411203,"Sự kiện IFA 2024: Bùng nổ sáng tạo, định hình xu hướng công nghệ mới",https://sintech.vn/blogs/news/su-kien-ifa-2024-bung-no-sang-tao-dinh-hinh-xu-huong-cong-nghe-moi,HEAVY (14 claim cần web-verify)
126,1002413939,"[IFA 2024] Có gì tại gian trưng bày của Samsung: đồ gì cũng tích hợp AI, rồi có cả màn hình 3D không cần kính!",https://sintech.vn/blogs/news/ifa-2024-co-gi-tai-gian-trung-bay-cua-samsung-do-gi-cung-tich-hop-a,HEAVY (4 claim cần web-verify)
120,1002413861,"Ra mắt iPhone mới, Apple vẫn phải đối mặt với nỗi sợ 'bán ế' tại Trung Quốc?",https://sintech.vn/blogs/news/ra-mat-iphone-moi-apple-van-phai-doi-mat-voi-noi-so-ban-e-tai-trung,HEAVY (5 claim cần web-verify)
124,1002413914,"""Nóng"" cuộc đua phủ trạm sạc xe điện: Công ty của ông Phạm Nhật Vượng muốn biến siêu thị, quán cafe thành điểm sạc, gã khổng lồ tỷ USD ngành điện rục rịch tham gia",https://sintech.vn/blogs/news/nong-cuoc-dua-phu-tram-sac-xe-dien-cong-ty-cua-ong-pham-nhat-vuong,HEAVY (5 claim cần web-verify)
190,1002533590,Dòng card đồ họa NVIDIA RTX 50 có mức giá khởi điểm từ 549 USD.,https://sintech.vn/blogs/news/dong-card-do-hoa-nvidia-rtx-50-co-muc-gia-khoi-diem-tu-549-usd,HEAVY (5 claim cần web-verify)
214,1002693503,"IPhone Gập: Apple Đã Sẵn Sàng “Gấp Gọn” Thế Giới Của Bạn, Nhưng iPad Gập Thì Vẫn... Ngủ Đông",https://sintech.vn/blogs/news/iphone-gap-apple-da-san-sang-gap-gon-the-gioi-cua-ban-nhung-ipad-g,HEAVY (5 claim cần web-verify)
50,1002358515,Microsoft kết thúc hỗ trợ Windows 11 21H2 và 22H2 sau 90 ngày,https://sintech.vn/blogs/news/microsoft-ket-thuc-ho-tro-windows-11-21h2-va-22h2-sau-90-ngay,HEAVY (6 claim cần web-verify)
118,1002413806,Hisense nâng tầm trải nghiệm chơi game với màn hình cỡ lớn tại IFA 2024,https://sintech.vn/blogs/news/hisense-nang-tam-trai-nghiem-choi-game-voi-man-hinh-co-lon-tai-ifa-202,HEAVY (6 claim cần web-verify)
205,1002593968,"NVIDIA tung RTX 5060 Ti ngay khi hết lệnh cấm review, RTX 5060 ra mắt tháng 5!",https://sintech.vn/blogs/news/nvidia-tung-rtx-5060-ti-ngay-khi-het-lenh-cam-review-rtx-5060-ra-mat,HEAVY (6 claim cần web-verify)
211,1002601884,"Intel ra mắt CPU Core Ultra 300 (Panther Lake) năm 2026, sản xuất hàng loạt từ cuối 2025",https://sintech.vn/blogs/news/intel-ra-mat-cpu-core-ultra-300-panther-lake-nam-2026-san-xuat-hang,HEAVY (7 claim cần web-verify)
