url,title,full_len_with_suffix,reasons
https://sintech.vn/products/laptop-dell-pro-14-essential-core-7-16-512gb-win-11,Laptop Dell Pro 14 Essential (Core 7 150U | 16GB | 512GB) – Sintech,77,over70_with_suffix|duplicate_title
https://sintech.vn/products/laptop-dell-15-dc15250-i5-16-512gb,Laptop Dell 15 DC15250 (i5 | 16GB | 512GB) giá tốt chính hãng – Sintech,81,over70_with_suffix
https://sintech.vn/products/laptop-lenovo-thinkbook-16-g9-i5-13420h-16-512gb,Laptop Lenovo ThinkBook 16 G9 (i5 | 16GB | 512GB) giá tốt – Sintech,77,over70_with_suffix
https://sintech.vn/products/laptop-dell-15-dc15250-i7-1355u-16-512gb,Laptop Dell 15 DC15250 i7-1355U 16/512GB chính hãng – Sintech,71,over70_with_suffix
https://sintech.vn/products/laptop-lenovo-thinkbook-14-g9-i5-13420h-16-512gb,Laptop Lenovo ThinkBook 14 G9 (i5 | 16GB | 512GB) giá tốt – Sintech,77,over70_with_suffix
https://sintech.vn/products/laptop-lenovo-ideapad-slim-5-14-ultra-5-16-512gb,Laptop Lenovo IdeaPad Slim 5 14 Ultra 5 16/512GB chính hãng – Sintech,79,over70_with_suffix
https://sintech.vn/products/laptop-dell-pro-14-essential-core-3-8-512gb,Laptop Dell Pro 14 Essential (Core 3 | 8GB | 512GB) giá tốt – Sintech,79,over70_with_suffix
https://sintech.vn/products/laptop-lenovo-thinkpad-e16-core-ultra-7-32-1tb,Laptop Lenovo ThinkPad E16 Gen 3 (Core Ultra 7 | 32GB | 1TB) – Sintech,80,over70_with_suffix
https://sintech.vn/products/laptop-lenovo-ideapad-slim-3-14-core-ultra-5-16-512gb,Laptop Lenovo IdeaPad Slim 3 14 Core Ultra 5 16/512GB – Sintech,73,over70_with_suffix
https://sintech.vn/products/vo-case-van-phong-magic-m-06-atx,"Vỏ Case Văn Phòng Magic M-06 M-ATX Gọn Nhẹ, Giá Tốt – Sintech",71,over70_with_suffix
https://sintech.vn/products/laptop-lenovo-thinkpad-e16-core-ultra-5-16-512gb,Laptop Lenovo ThinkPad E16 Gen 3 (Ultra 5 | 16GB | 512GB) – Sintech,77,over70_with_suffix
https://sintech.vn/products/laptop-hp-omnibook-x-flip-14-ryzen-ai-7-2k-32-1tb,Laptop HP OmniBook X Flip (Ryzen AI 7 | 32GB | 1TB) giá tốt – Sintech,79,over70_with_suffix
https://sintech.vn/products/laptop-dell-pro-14-essential-16-1tb-fhd,Laptop Dell Pro 14 Essential (Core 5 120U | 16GB | 1TB) – Sintech,75,over70_with_suffix
