url,page_type,title,title_len,meta_desc,meta_len,h1,h2_list,h2_count,word_count,schema_type,cta_present,title_pattern,meta_pattern,news_category,note
https://minhtuanmobile.com/dien-thoai/,collection,"Điện thoại di động I Smartphone giá rẻ chính hãng, trả góp 0% lãi suất",70,"Mua điện thoại thông minh, smartphone giá rẻ chính hãng, thu cũ đổi mới. Hỗ trợ trả góp 0%, bảo hành chính hãng. Click!",119,Điện Thoại,Sự phát triển của điện thoại thông minh || Những tính năng phổ biến của điện thoại di động || Phân loại điện thoại || Phân loại điện thoại theo tầm giá || Các tiêu chí quan trọng khi chọn mua điện thoại || Những thương hiệu điện thoại nổi bật hiện nay || Cách sử dụng điện thoại bền hơn || Mua điện thoại chính hãng giá tốt tại Minh Tuấn Mobile || Thông tin hay,9,5655,"BreadcrumbList,ProfessionalService,WebSite",no,"[NAME] , chính hãng + giá rẻ/tốt + trả góp 0%",LEAD=mua | USP=bảo hành/1đổi1+chính hãng+giá rẻ/tốt+thu cũ/trợ giá+trả góp 0% | CTA=no,,title kèm brand + USP; meta KHÔNG CTA; ~5655 từ
https://minhtuanmobile.com/dien-thoai/iphone/,collection,"Điện thoại iPhone (Apple) giá rẻ, trả góp 0%, bảo hành VIP 1 đổi 1",66,"Mua iPhone chính hãng Apple (Pro Max, Pro...) giá tốt, ưu đãi SỐC. Trả góp 0%, thu cũ đổi mới giá hời. Bảo hành chính hãng 12 tháng. Mua ngay!",142,iPhone,Phân loại tình trạng iPhone || Các dòng điện thoại iPhone || Bảng giá các dòng điện thoại iPhone mới nhất tại Minh Tuấn Mobile || Kinh nghiệm chọn mua iPhone phù hợp || Điện thoại iPhone nào đáng mua nhất hiện nay? || Vì sao nên mua điện thoại iPhone tại Minh Tuấn Mobile? || iPhone chính hãng VN/A là gì? || iPhone quốc tế và iPhone chính hãng khác nhau như thế nào? || Mua iPhone tại Minh Tuấn Mobile có được kiểm tra máy trước khi nhận không? || Mua iPhone tại Minh Tuấn Mobile có được trả góp không? || Minh Tuấn Mobile có hỗ trợ thu cũ đổi mới iPhone không? || iPhone có sử dụng được 2 SIM không?,15,6228,"BreadcrumbList,ProfessionalService,WebSite",yes,"[NAME] , bảo hành/1đổi1 + giá rẻ/tốt + trả góp 0%",LEAD=mua | USP=bảo hành/1đổi1+chính hãng+giá rẻ/tốt+thu cũ/trợ giá+trả góp 0%+ưu đãi/sốc/sale | CTA=yes,,title kèm brand + USP; meta có CTA; ~6228 từ
https://minhtuanmobile.com/dien-thoai/samsung/,collection,"Điện thoại Samsung Chính Hãng | Giá Tốt Nhất | Giao Nhanh, Góp 0%",65,"Mua điện thoại Samsung Galaxy S, Z Fold, Z Flip mới nhất 2025. Cam kết chính hãng, giá tốt nhất thị trường, ưu đãi SỐC. Trả góp 0%, bảo hành toàn quốc. Click ngay!",163,Chọn sản phẩm theo nhu cầu,Giới thiệu về điện thoại Samsung || Đánh giá điện thoại Samsung có gì nổi bật? || Các dòng điện thoại Samsung tiêu biểu hiện nay || Một số điện thoại Samsung mới nhất || Hướng dẫn chọn mua điện thoại Samsung || Vì sao nên mua điện thoại Samsung tại Minh Tuấn Mobile? || Thông tin hay,7,6806,"BreadcrumbList,ProfessionalService,WebSite",no,[NAME] | chính hãng + giá rẻ/tốt + miễn phí/giao nhanh + trả góp 0%,LEAD=mua | USP=bảo hành/1đổi1+chính hãng+giá rẻ/tốt+trả góp 0%+ưu đãi/sốc/sale | CTA=no,,title kèm brand + USP; meta KHÔNG CTA; ~6806 từ
https://minhtuanmobile.com/laptop/mac/,collection,"Mac chính hãng Apple | Giá tốt, bảo hành uy tín",47,"MacBook Air, Pro, iMac, Mac mini, Mac Studio chính hãng Appletại Minh Tuấn Mobile ưu đãi hấp dẫn, giá tốt, bảo hành đầy đủ, giao hàng nhanh. Click mua ngay",155,Chọn sản phẩm theo nhu cầu,"Đặc điểm nổi bật của MacBook || Các dòng sản phẩm của MacBook || Tư vấn chọn mua MacBook phù hợp nhất || So sánh MacBook với iMac, Mac mini, Mac Studio || So sánh MacBook Pro và MacBook Air || Mua MacBook chính hãng, giá tốt tại Minh Tuấn Mobile || Thông tin hay",7,5654,"BreadcrumbList,ProfessionalService,WebSite",yes,[NAME] | bảo hành/1đổi1 + chính hãng + giá rẻ/tốt,LEAD=[other] | USP=bảo hành/1đổi1+chính hãng+giá rẻ/tốt+miễn phí/giao nhanh+ưu đãi/sốc/sale | CTA=yes,,title kèm brand + USP; meta có CTA; ~5654 từ
https://minhtuanmobile.com/laptop/mac/macbook-air/,collection,"MacBook Air chính hãng - Giá tốt nhất, trả góp 0% tại Minh Tuấn",63,"Mua MacBook Air chính hãng tại Minh Tuấn Mobile với giá cực sốc. Bảo hành 12 tháng, thu cũ đổi mới trợ giá cao và trả góp 0%. Click để nhận ưu đãi ngay!",152,MacBook Air,"Thông tin hay || MacBook Air được đánh giá là chiếc laptop sang trọng với trọng lượng nhẹ bậc nhất, hiệu năng ưu tú mà mức giá lại khá ổn áp trong nhóm máy tính xách tay của Apple. Đây được xem là sự lựa chọn quen thuộc của nhiều khách hàng giới văn phòng hoặc học sinh, sinh viên khi rất tiện mang theo bên mình.",2,2960,"BreadcrumbList,ProfessionalService,WebSite",no,[NAME] - chính hãng + giá rẻ/tốt + trả góp 0%,LEAD=mua | USP=bảo hành/1đổi1+chính hãng+thu cũ/trợ giá+trả góp 0%+ưu đãi/sốc/sale | CTA=no,,title kèm brand + USP; meta KHÔNG CTA; ~2960 từ
https://minhtuanmobile.com/laptop/mac/macbook-pro/,collection,"MacBook Pro chính hãng -  Trả góp 0%, Bảo hành Apple",52,"Mua MacBook Pro chính hãng tại Minh Tuấn Mobile – trả góp 0%, bảo hành Apple toàn cầu, ưu đãi HSSV giảm 500K. Đặt ngay hôm nay!",127,MacBook Pro,"Thông tin hay || Đặc điểm nổi bật của MacBook Pro || Các dòng MacBook Pro phổ biến trên thị trường hiện nay || So sánh MacBook Pro và MacBook Air || Tư vấn chọn mua MacBook Pro phù hợp nhất || Mua MacBook Pro chính hãng, giá rẻ tại Minh Tuấn Mobile",6,4878,"BreadcrumbList,ProfessionalService,WebSite",yes,[NAME] - bảo hành/1đổi1 + chính hãng + trả góp 0%,LEAD=mua | USP=bảo hành/1đổi1+chính hãng+trả góp 0%+ưu đãi/sốc/sale | CTA=yes,,title kèm brand + USP; meta có CTA; ~4878 từ
https://minhtuanmobile.com/hang-cu/iphone/,collection,"iPhone Cũ Giá Rẻ (Pro Max, Pro...) | Góp 0% | Chính Hãng",56,"Mua điện thoại iPhone cũ giá rẻ, tiết kiệm 30-70% so với máy mới. Đa dạng mẫu (Pro Max, Pro...), trả góp 0%, bảo hành uy tín chỉ có tại Minh Tuấn Mobile!",153,iPhone cũ,,0,1286,"BreadcrumbList,ProfessionalService,WebSite",no,[NAME] | chính hãng + giá rẻ/tốt + trả góp 0%,LEAD=mua | USP=bảo hành/1đổi1+giá rẻ/tốt+trả góp 0% | CTA=no,,title kèm brand + USP; meta KHÔNG CTA; ~1286 từ
https://minhtuanmobile.com/iphone-x-64gb-cu-dep/,product,iPhone X 64GB cũ Like New giá rẻ - Minh Tuấn Mobile,51,"iPhone X 64GB - Like New bản quốc tế uy tín, giá rẻ. Bao test 7 ngày đổi trả, bảo hành VIP. Hỗ trợ cài đặt trọn đời, trả góp 0-1%.",130,iPhone X 64GB - Cũ đẹp,Tổng quan về iPhone X 64GB cũ || Mua iPhone X 64GB cũ uy tín tại Minh Tuấn Mobile || Kinh nghiệm kiểm tra iPhone X 64GB cũ trước khi mua || Mua iPhone X 64GB cũ tại Minh Tuấn Mobile có bao gồm phụ kiện kèm theo không? || Quy định về quyền lợi bao test và chính sách đổi trả khi phát hiện lỗi máy iPhone X 64GB cũ ra sao? || Có cần thiết phải đăng ký thêm gói bảo hành mở rộng cho iPhone X 64GB cũ? || Nếu iPhone X 64GB cũ đã thay thế linh kiện thì hiệu năng có còn tốt như máy nguyên bản không?,7,5982,"BreadcrumbList,FAQPage,Product,ProfessionalService,WebSite",no,[NAME] - giá rẻ/tốt,LEAD=[other] | USP=bảo hành/1đổi1+giá rẻ/tốt+trả góp 0% | CTA=no,,USP nhồi ngay sau tên; meta KHÔNG CTA; ~5982 từ
https://minhtuanmobile.com/iphone-x-256gb-cu-dep/,product,iPhone X 256GB cũ Like New giá rẻ - Minh Tuấn Mobile,52,"iPhone X 256GB - Like New bản quốc tế uy tín, giá rẻ. Bao test 7 ngày đổi trả, bảo hành VIP. Hỗ trợ cài đặt trọn đời, trả góp 0-1%.",131,iPhone X 256GB - Cũ đẹp,Tổng quan về iPhone X 256GB cũ || Mua iPhone X 256GB cũ uy tín tại Minh Tuấn Mobile || Kinh nghiệm kiểm tra iPhone X 256GB cũ trước khi mua || Khách hàng có được tặng kèm phụ kiện khi mua iPhone X 256GB cũ? || Quy trình đổi trả và quyền lợi bao test sản phẩm iPhone X 256GB cũ được quy định ra sao? || Gói bảo hành gia hạn của Minh Tuấn Mobile mang lại những lợi ích khác biệt gì cho người dùng iPhone X 256GB cũ? || iPhone X 256GB cũ tại Minh Tuấn Mobile là bản VN/A hay bản LL/A?,7,6613,"BreadcrumbList,FAQPage,Product,ProfessionalService,WebSite",no,[NAME] - giá rẻ/tốt,LEAD=[other] | USP=bảo hành/1đổi1+giá rẻ/tốt+trả góp 0% | CTA=no,,USP nhồi ngay sau tên; meta KHÔNG CTA; ~6613 từ
https://minhtuanmobile.com/iphone-xs-max-256gb-cu-dep/,product,iPhone Xs Max 256GB cũ Like New giá rẻ - Minh Tuấn Mobile,57,"iPhone Xs Max 256GB - Like New bản quốc tế, giá rẻ. Bao test 7 ngày đổi trả, bảo hành VIP. Hỗ trợ cài đặt trọn đời, trả góp 0-1%.",129,iPhone Xs Max 256GB - Cũ đẹp,Tổng quan về iPhone Xs Max 256GB cũ || Mua iPhone Xs Max 256GB cũ uy tín tại Minh Tuấn Mobile || Kinh nghiệm kiểm tra iPhone Xs Max 256GB cũ trước khi mua || Khách hàng có nhận được quà tặng gì khi mua iPhone Xs Max 256GB cũ không? || Nếu iPhone Xs Max 256GB cũ bị lỗi ngay sau khi mua thì tôi có được đổi máy khác không? || Nên hay không trong việc đầu tư gói bảo hành mở rộng cho iPhone Xs Max 256GB cũ? || iPhone Xs Max 256GB cũ tại Minh Tuấn Mobile là phiên bản VN/A hay LL/A? || Bảng giá bù chênh lệch dự kiến khi muốn đổi lên iPhone Xs Max 256GB cũ là bao nhiêu?,8,6747,"BreadcrumbList,FAQPage,Product,ProfessionalService,WebSite",no,[NAME] - giá rẻ/tốt,LEAD=[other] | USP=bảo hành/1đổi1+giá rẻ/tốt+trả góp 0% | CTA=no,,USP nhồi ngay sau tên; meta KHÔNG CTA; ~6747 từ
https://minhtuanmobile.com/cuong-luc-chong-nhin-trom-mocoll-2-5d-privacy-for-iphone-x-xs-11pro/,product,Cường lực chống nhìn trộm Mocoll 2.5D Full iPhone X/ 11 Pro,59,"Cường lực chống nhìn trộm Mocoll 2.5D Full iPhone X 11 Pro mới 100%, chính hãng Mocoll, hỗ trợ đặt hàng online, giao hàng nhanh.",128,Cường lực chống nhìn trộm iPhone X/ 11 Pro MOCOLL 2.5D Full,Cường lực chống nhìn trộm Mocoll 2.5D Full iPhone X/ 11 Pro: Bảo vệ iPhone của bạn,1,3088,"BreadcrumbList,Product,ProfessionalService,WebSite",yes,[NAME] none (no-USP),LEAD=[other] | USP=chính hãng+miễn phí/giao nhanh | CTA=yes,,title thiếu USP; meta có CTA; ~3088 từ
https://minhtuanmobile.com/dan-cuong-luc-jcpal-iphone-x-xs-11pro/,product,Cường lực JCPAL iPhone Xs/11 Pro chính hãng,43,"Cường lực JCPAL iPhone Xs 11 Pro mới 100% nguyên hộp, chính hãng JCPAL, hỗ trợ đặt hàng online, giao hàng trong thời gian ngắn.",127,Cường lực iPhone X/Xs/11 Pro JCPAL,Cường lực JCPAL iPhone Xs/Pro: Bảo vệ iPhone của bạn,1,2687,"BreadcrumbList,Product,ProfessionalService,WebSite",yes,[NAME] none chính hãng,LEAD=[other] | USP=chính hãng+miễn phí/giao nhanh | CTA=yes,,USP nhồi ngay sau tên; meta có CTA; ~2687 từ
https://minhtuanmobile.com/iphone-xs-max-64gb-cu-dep/,product,iPhone Xs Max 64GB chính hãng hàng Like New cũ đẹp,50,"iPhone Xs Max 64GB chính hãng hàng Like New cũ đẹp 99%, chính hãng Apple bản Quốc Tế, được bao test 7 ngày nếu có lỗi từ nsx",124,iPhone Xs Max 64GB - Cũ đẹp,,0,3913,"BreadcrumbList,FAQPage,Product,ProfessionalService,WebSite",no,[NAME] none chính hãng,LEAD=[other] | USP=chính hãng | CTA=no,,USP nhồi ngay sau tên; meta KHÔNG CTA; ~3913 từ
